Ticker,mention_count,avg_sentiment,total_sentiment
RBA,1,-1.0,-1
RM,1,1.0,1
CMCSA,1,1.0,1
CGI,1,1.0,1
CHDN,1,1.0,1
CHE,1,1.0,1
CHMT,1,1.0,1
PRO,1,1.0,1
PROP,1,-1.0,-1
PSO,1,-1.0,-1
POPE,1,1.0,1
POT,1,1.0,1
CHOP,1,1.0,1
CHY,1,1.0,1
CBIS,1,1.0,1
CBOE,1,-1.0,-1
GSVC,1,1.0,1
CMCO,1,-1.0,-1
PKT,1,1.0,1
PN,1,-1.0,-1
PNF,1,1.0,1
CENX,1,-1.0,-1
CEOS,1,-1.0,-1
PNK,1,1.0,1
PNRA,1,-1.0,-1
PODD,1,1.0,1
IQNT,1,1.0,1
ISLE,1,1.0,1
ISRG,1,1.0,1
LEVY,1,-1.0,-1
EFT,1,-1.0,-1
EGOV,1,1.0,1
ITT,1,-1.0,-1
IVAN,1,1.0,1
LITE,1,-1.0,-1
LNKD,1,1.0,1
KKR,1,-1.0,-1
KMB,1,1.0,1
KOOL,1,1.0,1
IPG,1,1.0,1
IPGP,1,1.0,1
IPHI,1,1.0,1
LE,1,-1.0,-1
LEA,1,1.0,1
JIVE,1,1.0,1
JP,1,-1.0,-1
JWN,1,-1.0,-1
KATE,1,1.0,1
KB,1,1.0,1
LINK,1,1.0,1
ROTH,1,1.0,1
SAAS,1,1.0,1
SAFM,1,-1.0,-1
SAFT,1,-1.0,-1
SAIA,1,1.0,1
SAND,1,1.0,1
SANM,1,1.0,1
QSII,1,1.0,1
SYNC,1,1.0,1
SYNT,1,1.0,1
SYX,1,1.0,1
SSY,1,-1.0,-1
STJ,1,-1.0,-1
STKS,1,1.0,1
SIMO,1,-1.0,-1
SIVE,1,1.0,1
CAKE,1,1.0,1
BPOP,1,1.0,1
BPZ,1,1.0,1
BRO,1,-1.0,-1
SGEN,1,1.0,1
BX,1,-1.0,-1
BZH,1,1.0,1
CAB,1,1.0,1
SBAC,1,1.0,1
SBGI,1,1.0,1
SCI,1,-1.0,-1
SCMP,1,-1.0,-1
SCSS,1,1.0,1
CACI,1,1.0,1
CAF,1,1.0,1
CAH,1,1.0,1
JAH,1,1.0,1
BONT,1,-1.0,-1
BHP,1,-1.0,-1
BIO,1,1.0,1
BLK,1,1.0,1
BSE,1,1.0,1
BTE,1,1.0,1
BWS,1,-1.0,-1
ETF,1,1.0,1
ETN,1,1.0,1
EVI,1,1.0,1
EWBC,1,1.0,1
IMI,1,1.0,1
IMN,1,1.0,1
IMS,1,-1.0,-1
